id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,misc_val,mo_sold,yr_sold,sale_type,saleprice,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_GrnHill,neighborhood_IDOTRR,neighborhood_Landmrk,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,foundation_CBlock,foundation_PConc,foundation_Slab,foundation_Stone,foundation_Wood
1044,527451290,160,RM,21.0,1680.0,Pave,1,1,AllPub,Inside,Gtl,BrDale,Norm,Norm,0,0,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,1.0,2.0,CBlock,3.0,3.0,No,ALQ,387.0,Unf,0.0,96.0,483.0,GasA,1.0,Y,SBrkr,483.0,504,0,987.0,0.0,0.0,1,1,2,1,1.0,4,Typ,0,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,0,0,0,0,0,0,7,2008,COD,11.355101379776661,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2752,906380150,20,RL,64.0,7488.0,Pave,0,1,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1,1,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,2.0,2.0,PConc,4.0,3.0,Av,GLQ,393.0,Unf,0.0,815.0,1208.0,GasA,3.0,Y,SBrkr,1208.0,0,0,1208.0,0.0,0.0,2,0,2,1,2.0,6,Typ,0,Attchd,2005.0,RFn,2.0,632.0,TA,TA,Y,105,58,0,0,0,0,2,2006,WD ,12.120514757168527,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
807,906226060,70,RL,120.0,8908.039766702015,Pave,1,0,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1,0,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,2.0,2.0,PConc,0.0,0.0,none,none,0.0,none,0.0,0.0,0.0,GasA,3.0,Y,SBrkr,1288.0,728,0,2016.0,0.0,0.0,1,0,4,1,1.0,7,Mod,1,Attchd,1900.0,Unf,2.0,576.0,TA,TA,P,0,0,0,0,0,0,6,2009,WD ,11.782952602183288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1177,533236070,160,FV,24.0,2645.0,Pave,1,1,AllPub,Inside,Gtl,Somerst,Norm,Norm,0,0,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,2.0,2.0,PConc,4.0,3.0,No,GLQ,813.0,Unf,0.0,147.0,960.0,GasA,3.0,Y,SBrkr,962.0,645,0,1607.0,1.0,0.0,2,1,3,1,2.0,7,Typ,0,Detchd,2000.0,Unf,2.0,480.0,TA,TA,Y,169,0,0,0,0,0,12,2008,ConLD,12.206072645530174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1480,907418040,20,RL,74.0,9627.0,Pave,1,1,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1,1,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,2.0,2.0,PConc,4.0,3.0,Av,GLQ,24.0,Unf,0.0,1327.0,1351.0,GasA,3.0,Y,SBrkr,1361.0,0,0,1361.0,0.0,0.0,2,0,3,1,2.0,6,Typ,0,Attchd,2007.0,RFn,2.0,610.0,TA,TA,Y,0,50,0,0,0,0,6,2008,WD ,12.170445467887022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
324,923202105,20,RL,93.0,10114.0,Pave,1,1,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1,1,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,1.0,2.0,PConc,5.0,3.0,Av,Unf,0.0,Unf,0.0,1430.0,1430.0,GasA,3.0,Y,SBrkr,1430.0,0,0,1430.0,0.0,0.0,2,0,3,1,2.0,7,Typ,0,Attchd,2004.0,RFn,2.0,624.0,TA,TA,Y,0,0,0,0,0,0,3,2010,WD ,12.063932878369052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1311,902301140,70,RM,34.0,4571.0,Pave,1,1,AllPub,Inside,Gtl,OldTown,Norm,Norm,1,0,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,1.0,2.0,BrkTil,3.0,3.0,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,0.0,N,SBrkr,624.0,720,0,1344.0,0.0,0.0,1,0,4,1,1.0,7,Typ,0,Detchd,1916.0,Unf,3.0,513.0,Fa,Fa,Y,0,0,96,0,0,0,5,2008,COD,11.49272275765271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
770,905101490,20,RL,80.0,8816.0,Pave,1,1,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1,1,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,1.0,2.0,PConc,3.0,3.0,No,Rec,651.0,Unf,0.0,470.0,1121.0,GasA,1.0,Y,SBrkr,1121.0,0,0,1121.0,1.0,0.0,1,0,3,1,1.0,5,Typ,0,Detchd,1963.0,Unf,2.0,480.0,TA,TA,Y,0,80,0,0,0,0,6,2009,WD ,11.842229212112828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2063,905107140,20,RL,71.0,8197.0,Pave,1,1,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1,1,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,1.0,2.0,CBlock,3.0,3.0,No,Unf,0.0,Unf,0.0,660.0,660.0,GasA,3.0,Y,SBrkr,1285.0,0,0,1285.0,0.0,0.0,1,1,3,1,1.0,7,Typ,1,Attchd,1977.0,RFn,2.0,528.0,TA,TA,Y,138,0,0,0,0,0,4,2007,WD ,11.874090314181814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
69,528458070,60,FV,72.0,8640.0,Pave,1,1,AllPub,Inside,Gtl,Somerst,Norm,Norm,1,0,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,1.0,2.0,PConc,4.0,3.0,Mn,GLQ,24.0,Unf,0.0,732.0,756.0,GasA,3.0,Y,SBrkr,764.0,783,0,1547.0,0.0,0.0,2,1,3,1,2.0,7,Typ,0,Attchd,2009.0,Unf,2.0,614.0,TA,TA,Y,169,45,0,0,0,0,6,2010,Con,12.279323107269766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2062,905106150,20,RL,109.0,8724.0,Pave,1,1,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1,1,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,1.0,2.0,CBlock,4.0,3.0,No,BLQ,492.0,Unf,0.0,402.0,894.0,GasA,2.0,Y,SBrkr,894.0,0,0,894.0,0.0,0.0,1,0,3,1,1.0,5,Typ,1,Attchd,1968.0,Fin,2.0,450.0,TA,TA,Y,0,0,0,0,0,0,5,2007,WD ,11.76756768334381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
351,527131030,120,RL,40.0,5664.0,Pave,0,1,AllPub,Inside,Gtl,StoneBr,Norm,Norm,0,1,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,2.0,2.0,PConc,4.0,3.0,No,GLQ,1158.0,Unf,0.0,343.0,1501.0,GasA,3.0,Y,SBrkr,1659.0,0,0,1659.0,1.0,0.0,2,0,2,1,3.0,5,Typ,1,Attchd,2000.0,Fin,2.0,499.0,TA,TA,Y,212,59,0,0,0,0,10,2009,WD ,12.535376392672774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2393,528142010,60,RL,103.0,12867.0,Pave,0,1,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1,0,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,none,2.0,2.0,PConc,5.0,3.0,Av,Unf,0.0,Unf,0.0,1209.0,1209.0,GasA,3.0,Y,SBrkr,1209.0,1044,0,2253.0,0.0,0.0,2,1,3,1,3.0,8,Typ,1,Attchd,2005.0,Fin,2.0,575.0,TA,TA,Y,243,142,0,0,0,0,7,2006,New,12.748783489541202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,527165230,20,RL,0.0,7980.0,Pave,0,1,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1,1,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,1.0,3.0,PConc,4.0,3.0,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,3.0,Y,SBrkr,1187.0,0,0,1187.0,1.0,0.0,2,0,3,1,1.0,6,Typ,0,Attchd,1992.0,Fin,2.0,420.0,TA,TA,Y,483,21,0,0,0,500,3,2010,WD ,12.128111104060462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2339,527250040,190,RL,100.0,8908.039766702015,Pave,1,0,AllPub,Inside,Gtl,Gilbert,Norm,Norm,0,1,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,1.0,2.0,CBlock,3.0,3.0,Mn,Rec,1056.0,Unf,0.0,0.0,1056.0,GasA,1.0,N,SBrkr,1056.0,0,0,1056.0,1.0,0.0,1,0,3,1,1.0,5,Typ,0,Attchd,1955.0,Fin,2.0,572.0,TA,TA,Y,264,0,0,0,0,0,1,2006,WD ,11.884489021402711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
624,535104120,20,RL,92.0,10573.0,Pave,0,1,AllPub,Corner,Gtl,NAmes,Norm,Norm,1,1,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,1.0,2.0,CBlock,3.0,3.0,No,Rec,1312.0,Unf,0.0,141.0,1453.0,GasA,3.0,Y,SBrkr,1453.0,0,0,1453.0,1.0,0.0,2,0,3,1,1.0,6,Typ,1,Attchd,1961.0,RFn,2.0,530.0,TA,TA,Y,0,49,0,0,288,0,4,2009,WD ,12.141534124392603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
86,532376160,20,RL,65.0,8450.0,Pave,1,1,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1,1,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,1.0,3.0,CBlock,3.0,3.0,No,GLQ,553.0,BLQ,117.0,224.0,894.0,GasA,3.0,Y,SBrkr,894.0,0,0,894.0,1.0,0.0,1,0,3,1,1.0,5,Typ,1,Detchd,1973.0,Unf,1.0,336.0,TA,TA,Y,416,144,0,0,0,0,4,2010,WD ,11.83862560460953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1534,909277040,50,RL,0.0,11700.0,Pave,0,0,AllPub,Inside,Mod,Crawfor,Norm,Norm,1,0,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,1.0,2.0,CBlock,3.0,3.0,No,BLQ,606.0,Unf,0.0,336.0,942.0,GasA,3.0,Y,SBrkr,1265.0,673,0,1938.0,0.0,0.0,2,0,4,1,2.0,7,Min2,1,Detchd,1937.0,Unf,1.0,240.0,TA,TA,Y,0,40,0,0,0,0,7,2008,WD ,12.196022309676673,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2243,911103060,190,C (all),75.0,8250.0,Pave,1,1,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,0,0,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,1.0,3.0,CBlock,3.0,3.0,No,Unf,0.0,Unf,0.0,957.0,957.0,GasA,0.0,N,SBrkr,1034.0,957,0,1991.0,0.0,0.0,2,0,4,2,1.0,9,Typ,0,none,0.0,none,0.0,0.0,No,No,N,0,0,133,0,0,0,6,2007,WD ,11.691908120498669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1957,535450190,50,RL,60.0,8064.0,Pave,1,1,AllPub,Corner,Gtl,NAmes,Artery,Norm,1,0,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,1.0,3.0,CBlock,3.0,3.0,Mn,Unf,0.0,Unf,0.0,672.0,672.0,GasA,3.0,Y,SBrkr,672.0,252,0,924.0,0.0,0.0,1,0,3,1,1.0,6,Typ,1,Detchd,2003.0,Unf,2.0,576.0,TA,TA,Y,0,0,0,0,0,2000,7,2007,WD ,11.719126295554126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
380,527355150,20,RL,80.0,9600.0,Pave,1,1,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1,1,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,2.0,2.0,PConc,4.0,3.0,No,ALQ,1104.0,Unf,0.0,1420.0,2524.0,GasA,1.0,Y,SBrkr,2524.0,0,0,2524.0,1.0,0.0,2,1,4,1,2.0,9,Typ,1,Attchd,1981.0,Fin,2.0,542.0,TA,TA,Y,474,120,0,0,0,0,7,2009,WD ,12.535376392672774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
